NAMESPACE   NAME                          SYNC STATUS   HEALTH STATUS
argocd      database                      Synced        Healthy
argocd      database-tidb-cluster         OutOfSync     Healthy
argocd      database-tidb-crd             Synced        Healthy
argocd      database-tidb-operator        Synced        Healthy
argocd      development-apps              Synced        Healthy
argocd      fluent-aggregator             Synced        Healthy
argocd      fluent-aggregator-dummy       Synced        Healthy
argocd      fluent-aggregator-fluentbit   Synced        Healthy
argocd      fluent-aggregator-fluentd     Synced        Healthy
argocd      fluent-aggregator-namespace   Synced        Healthy
argocd      istio                         Synced        Healthy
argocd      istio-base                    OutOfSync     Healthy
argocd      istio-gateway                 Synced        Healthy
argocd      istio-ingress                 Synced        Healthy
argocd      istio-istiod                  Synced        Healthy
argocd      istio-namespace               Synced        Healthy
argocd      monitoring                    Synced        Healthy
argocd      monitoring-loki               OutOfSync     Healthy
argocd      monitoring-namespace          Synced        Healthy
argocd      monitoring-prometheus         Synced        Healthy
argocd      monitoring-virtualservice     Synced        Healthy
